Year,MonthNumber,MonthName,InvoiceYearMonth,Quarter,Revenue,Orders,Customers,ItemsSold,AvgOrderValue
2010,12,December,2010-12,Q4,776314.95,1551,885,357541,500.53
2011,1,January,2011-01,Q1,670639.46,1081,740,386745,620.39
2011,2,February,2011-02,Q1,508081.54,1093,758,282635,464.85
2011,3,March,2011-03,Q1,690591.84,1440,974,376198,479.58
2011,4,April,2011-04,Q2,515899.661,1236,854,307665,417.39
2011,5,May,2011-05,Q2,740472.33,1668,1055,394667,443.93
2011,6,June,2011-06,Q2,738233.99,1525,991,388141,484.09
2011,7,July,2011-07,Q3,688802.671,1452,947,399303,474.38
2011,8,August,2011-08,Q3,735770.22,1341,934,420710,548.67
2011,9,September,2011-09,Q3,1029245.381,1819,1260,568720,565.83
2011,10,October,2011-10,Q4,1104063.97,2006,1362,619613,550.38
2011,11,November,2011-11,Q4,1453265.98,2751,1661,746975,528.27
2011,12,December,2011-12,Q4,614699.25,816,615,312652,753.31
